档,矫焙,前格,累扁,丑啊疙,week,炼荤老磊,俺眉锅龋,咀酒 俺荐,咀酒备盒,檬厘,勘荐,勘厘,勘气,勘捍厘,包何流版,拳规锅龋,拳规喊馒苞荐
面合,苛玫,叠扁,1,2,16,2021-01-07,2,3,咀酒-2,17.6,9,7.8,7.4,7.2,14.21,1,
面合,苛玫,叠扁,1,2,16,2021-01-07,2,3,咀酒-3,15.4,9,9.1,7,32.1,12.9,1,
面合,苛玫,叠扁,1,2,16,2021-01-07,3,1,夯林,33.3,27,13.2,9.8,13.2,21.27,1,
面合,苛玫,叠扁,1,2,16,2021-01-07,3,1,咀酒,35.1,12,8.5,5.4,23.1,10.46,1,
面合,苛玫,叠扁,1,2,16,2021-01-07,3,1,夯林,33.3,27,13.2,9.8,13.2,21.27,2,10
面合,苛玫,叠扁,1,2,16,2021-01-07,4,2,咀酒-2,25.8,12,12.9,10.5,14,18.77,1,3
面合,苛玫,叠扁,1,2,16,2021-01-07,4,2,咀酒,23.7,12,12.9,11.3,10,18.11,1,3
面合,苛玫,叠扁,1,2,16,2021-01-07,4,2,夯林,36.3,27,9.3,6.4,22.1,23.47,1,7
面合,苛玫,叠扁,1,2,16,2021-01-07,4,2,夯林,36.3,27,9.3,6.4,22.1,23.47,2,6
面合,苛玫,叠扁,1,2,17,2021-01-12,1,2,咀酒,19.8,12,5.2,4.8,7.6,14.34,1,6
面合,苛玫,叠扁,1,2,17,2021-01-12,1,2,咀酒,19.8,12,5.2,4.8,7.6,14.34,2,1
面合,苛玫,叠扁,1,2,17,2021-01-12,1,2,夯林,33.8,30,5.5,4.5,18.7,27.65,1,1
面合,苛玫,叠扁,1,2,17,2021-01-12,1,2,夯林,33.8,30,5.5,4.5,18.7,27.65,2,7
面合,苛玫,叠扁,1,2,17,2021-01-12,1,2,咀酒-2,17.9,12,9.5,8.6,23.7,14.69,1,3
面合,苛玫,叠扁,1,2,17,2021-01-12,2,3,咀酒,18.5,12,7.1,5,22.5,14.24,1,5
面合,苛玫,叠扁,1,2,17,2021-01-12,2,3,夯林,37.8,30,8.3,7.8,24.6,24.98,1,
面合,苛玫,叠扁,1,2,17,2021-01-12,2,3,夯林,37.8,30,8.3,7.8,24.6,24.98,2,3
面合,苛玫,叠扁,1,2,17,2021-01-12,2,3,咀酒-2,19.8,9,8.5,8.4,8.2,14.47,1,
面合,苛玫,叠扁,1,2,17,2021-01-12,2,3,咀酒-3,16.3,9,8.8,7.1,21.2,13.54,1,
面合,苛玫,叠扁,1,2,17,2021-01-12,3,1,夯林,34.1,24,10.8,8.7,20,23.38,1,
面合,苛玫,叠扁,1,2,17,2021-01-12,3,1,咀酒,36,12,9.6,6.4,25.3,11.18,1,
面合,苛玫,叠扁,1,2,17,2021-01-12,3,1,夯林,34.1,24,10.8,8.7,20,23.38,2,10
面合,苛玫,叠扁,1,2,17,2021-01-12,4,2,咀酒-2,26.7,12,12.4,10.5,14.3,18.89,1,4
面合,苛玫,叠扁,1,2,17,2021-01-12,4,2,咀酒,23.3,12,11.8,8.1,16,19.94,1,5
面合,苛玫,叠扁,1,2,17,2021-01-12,4,2,夯林,36.3,30,9.4,6.6,24.3,22.79,1,6
面合,苛玫,叠扁,1,2,17,2021-01-12,4,2,夯林,36.3,30,9.4,6.6,24.3,22.79,2,7
面合,苛玫,叠扁,1,2,18,2021-01-21,1,2,咀酒,20.4,15,5.1,3.7,9.8,14.53,1,7
面合,苛玫,叠扁,1,2,18,2021-01-21,1,2,咀酒,20.4,15,5.1,3.7,9.8,14.53,2,4
面合,苛玫,叠扁,1,2,18,2021-01-21,1,2,夯林,35.9,36,11,7.8,19.8,27.32,1,
面合,苛玫,叠扁,1,2,18,2021-01-21,1,2,夯林,35.9,36,11,7.8,19.8,27.32,2,11
面合,苛玫,叠扁,1,2,18,2021-01-21,1,2,咀酒-2,18.4,12,9.8,9,15.5,14.98,1,11
面合,苛玫,叠扁,1,2,18,2021-01-21,2,3,咀酒,18.4,12,9.7,7.7,13.4,15.48,1,8
面合,苛玫,叠扁,1,2,18,2021-01-21,2,3,夯林,37.6,33,10.4,8.3,21.7,23.57,1,
面合,苛玫,叠扁,1,2,18,2021-01-21,2,3,夯林,37.6,33,10.4,8.3,21.7,23.57,2,10
面合,苛玫,叠扁,1,2,18,2021-01-21,2,3,咀酒-2,20.3,12,9.3,7.9,12.1,15.6,1,1
面合,苛玫,叠扁,1,2,18,2021-01-21,2,3,咀酒-3,15.8,9,10,8.2,6,13.58,3,
面合,苛玫,叠扁,1,2,18,2021-01-21,3,1,夯林,36.3,24,9.9,9.3,15.2,23.38,1,
面合,苛玫,叠扁,1,2,18,2021-01-21,3,1,咀酒,36.7,15,7.7,5.3,21.2,11.52,1,
面合,苛玫,叠扁,1,2,18,2021-01-21,3,1,夯林,36.3,24,9.9,9.3,15.2,23.38,2,8
面合,苛玫,叠扁,1,2,18,2021-01-21,4,2,咀酒-2,26.1,12,12.5,9.3,17.3,19.12,1,7
面合,苛玫,叠扁,1,2,18,2021-01-21,4,2,咀酒,24.5,15,7,5,10,19.82,1,8
面合,苛玫,叠扁,1,2,18,2021-01-21,4,2,夯林,36.4,30,9.8,7.1,23.1,23.47,1,3
面合,苛玫,叠扁,1,2,18,2021-01-21,4,2,夯林,36.4,30,9.8,7.1,23.1,23.47,2,8
面合,苛玫,叠扁,1,2,19,2021-01-26,1,2,咀酒,20.8,15,4.1,3.7,8.7,15.21,1,9
面合,苛玫,叠扁,1,2,19,2021-01-26,1,2,咀酒,20.8,15,4.1,3.7,8.7,15.21,2,9
面合,苛玫,叠扁,1,2,19,2021-01-26,1,2,夯林,34,36,5.8,4.9,14.5,26.45,1,
面合,苛玫,叠扁,1,2,19,2021-01-26,1,2,夯林,34,36,5.8,4.9,14.5,26.45,2,11
面合,苛玫,叠扁,1,2,19,2021-01-26,1,2,咀酒-2,18.9,12,7,6.1,14.1,15.02,1,11
面合,苛玫,叠扁,1,2,19,2021-01-26,2,3,咀酒,19.5,15,11.6,9.5,14.2,15.64,1,12
面合,苛玫,叠扁,1,2,19,2021-01-26,2,3,咀酒,19.5,15,11.6,9.5,14.2,15.64,2,
面合,苛玫,叠扁,1,2,19,2021-01-26,2,3,夯林,36.4,33,8.8,7,22,22.87,1,
面合,苛玫,叠扁,1,2,19,2021-01-26,2,3,夯林,36.4,33,8.8,7,22,22.87,2,12
面合,苛玫,叠扁,1,2,19,2021-01-26,2,3,咀酒-2,20.4,12,6.2,5.2,9.4,15.35,1,3
面合,苛玫,叠扁,1,2,19,2021-01-26,2,3,咀酒-3,16.2,9,10,8,6.5,14.11,1,
面合,苛玫,叠扁,1,2,19,2021-01-26,3,1,夯林,36.3,24,10.1,9.3,17.2,23.38,1,
面合,苛玫,叠扁,1,2,19,2021-01-26,3,1,咀酒,36.9,9,7.8,5.4,23,13.19,1,
面合,苛玫,叠扁,1,2,19,2021-01-26,3,1,夯林,36.3,24,10.1,9.3,17.2,23.38,2,8
面合,苛玫,叠扁,1,2,19,2021-01-26,3,1,夯林,36.3,24,10.1,9.3,17.2,23.38,3,
面合,苛玫,叠扁,1,2,19,2021-01-26,4,2,咀酒-2,27.3,15,13.2,9.7,19.5,19.79,1,8
面合,苛玫,叠扁,1,2,19,2021-01-26,4,2,咀酒,24.8,15,8.5,7.2,9.8,19.83,1,10
面合,苛玫,叠扁,1,2,19,2021-01-26,4,2,夯林,39.5,33,6,5.2,20,22.46,1,3
面合,苛玫,叠扁,1,2,19,2021-01-26,4,2,夯林,39.5,33,6,5.2,20,22.46,2,9
面合,苛玫,叠扁,1,2,20,2021-02-03,1,2,咀酒,21.8,15,5.3,4.6,7.3,15.33,1,7
面合,苛玫,叠扁,1,2,20,2021-02-03,1,2,咀酒,21.8,15,5.3,4.6,7.3,15.33,2,6
面合,苛玫,叠扁,1,2,20,2021-02-03,1,2,咀酒,21.8,15,5.3,4.6,7.3,15.33,3,1
面合,苛玫,叠扁,1,2,20,2021-02-03,1,2,夯林,32.7,36,6.9,5.1,17.2,26.11,1,
面合,苛玫,叠扁,1,2,20,2021-02-03,1,2,夯林,32.7,36,6.9,5.1,17.2,26.11,2,6
面合,苛玫,叠扁,1,2,20,2021-02-03,1,2,夯林,32.7,36,6.9,5.1,17.2,26.11,3,2
面合,苛玫,叠扁,1,2,20,2021-02-03,1,2,咀酒-2,18.7,15,8.3,6.7,16.5,15.06,1,6
面合,苛玫,叠扁,1,2,20,2021-02-03,2,3,咀酒,19.7,15,12,9,17.1,15.77,1,8
面合,苛玫,叠扁,1,2,20,2021-02-03,2,3,咀酒,19.7,15,12,9,17.1,15.77,2,2
面合,苛玫,叠扁,1,2,20,2021-02-03,2,3,夯林,33.3,36,9,7.5,16.4,19.93,1,
面合,苛玫,叠扁,1,2,20,2021-02-03,2,3,夯林,33.3,36,9,7.5,16.4,19.93,2,9
面合,苛玫,叠扁,1,2,20,2021-02-03,2,3,夯林,33.3,36,9,7.5,16.4,19.93,3,1
面合,苛玫,叠扁,1,2,20,2021-02-03,2,3,咀酒-2,21.8,12,7.3,6.2,9.5,15.56,1,4
面合,苛玫,叠扁,1,2,20,2021-02-03,2,3,咀酒-3,16.9,9,11.2,10.5,7.5,14.56,1,
面合,苛玫,叠扁,1,2,20,2021-02-03,3,1,夯林,35.9,21,8.7,6.4,17.8,21.87,1,
面合,苛玫,叠扁,1,2,20,2021-02-03,3,1,咀酒,35.9,15,7.8,5.6,22.1,11.97,1,
面合,苛玫,叠扁,1,2,20,2021-02-03,3,1,夯林,35.9,21,8.7,6.4,17.8,21.87,2,6
面合,苛玫,叠扁,1,2,20,2021-02-03,3,1,夯林,35.9,21,8.7,6.4,17.8,21.87,3,3
面合,苛玫,叠扁,1,2,20,2021-02-03,4,2,咀酒-2,27.9,15,13.2,10.1,16,19.83,1,3
面合,苛玫,叠扁,1,2,20,2021-02-03,4,2,咀酒,23,15,13.2,11.5,8.8,20.73,1,3
面合,苛玫,叠扁,1,2,20,2021-02-03,4,2,夯林,37.1,33,9.9,8,24.4,20.78,1,
面合,苛玫,叠扁,1,2,20,2021-02-03,4,2,夯林,37.1,33,9.9,8,24.4,20.78,2,4
面合,苛玫,叠扁,1,2,20,2021-02-03,4,2,夯林,37.1,33,9.9,8,24.4,20.78,3,3
面合,苛玫,叠扁,1,2,21,2021-02-08,1,2,咀酒,22.8,18,7.5,6.7,12.4,15.21,1,6
面合,苛玫,叠扁,1,2,21,2021-02-08,1,2,咀酒,22.8,18,7.5,6.7,12.4,15.21,2,6
面合,苛玫,叠扁,1,2,21,2021-02-08,1,2,咀酒,22.8,18,7.5,6.7,12.4,15.21,3,1
面合,苛玫,叠扁,1,2,21,2021-02-08,1,2,夯林,34.8,36,9.6,6,21,24.98,1,
面合,苛玫,叠扁,1,2,21,2021-02-08,1,2,夯林,34.8,36,9.6,6,21,24.98,2,6
面合,苛玫,叠扁,1,2,21,2021-02-08,1,2,夯林,34.8,36,9.6,6,21,24.98,3,3
面合,苛玫,叠扁,1,2,21,2021-02-08,1,2,咀酒-2,19.3,15,10.1,8.5,11.2,15.23,1,6
面合,苛玫,叠扁,1,2,21,2021-02-08,2,3,咀酒,20.1,15,11.3,8.8,14.8,15.81,1,8
面合,苛玫,叠扁,1,2,21,2021-02-08,2,3,咀酒,20.1,15,11.3,8.8,14.8,15.81,2,4
面合,苛玫,叠扁,1,2,21,2021-02-08,2,3,夯林,33.5,36,5.2,4.3,12,21.16,1,
面合,苛玫,叠扁,1,2,21,2021-02-08,2,3,夯林,33.5,36,5.2,4.3,12,21.16,2,9
面合,苛玫,叠扁,1,2,21,2021-02-08,2,3,夯林,33.5,36,5.2,4.3,12,21.16,3,2
面合,苛玫,叠扁,1,2,21,2021-02-08,2,3,咀酒-2,21.4,12,7.4,5.6,15.2,15.68,1,4
面合,苛玫,叠扁,1,2,21,2021-02-08,2,3,咀酒-2,21.4,12,7.4,5.6,15.2,15.68,2,
面合,苛玫,叠扁,1,2,21,2021-02-08,2,3,咀酒-3,17.6,12,11.6,11.4,8,14.91,1,
面合,苛玫,叠扁,1,2,21,2021-02-08,3,1,夯林,35.8,18,8.2,6.8,21.7,22.81,1,
面合,苛玫,叠扁,1,2,21,2021-02-08,3,1,咀酒,38.8,9,8.4,6.3,23.2,12.34,1,
面合,苛玫,叠扁,1,2,21,2021-02-08,3,1,夯林,35.8,18,8.2,6.8,21.7,22.81,2,4
面合,苛玫,叠扁,1,2,21,2021-02-08,3,1,夯林,35.8,18,8.2,6.8,21.7,22.81,3,5
面合,苛玫,叠扁,1,2,21,2021-02-08,4,2,咀酒-2,27.6,15,12.3,11,16.6,19.85,1,3
面合,苛玫,叠扁,1,2,21,2021-02-08,4,2,咀酒,24.8,18,13.4,10.6,19.6,21.02,1,3
面合,苛玫,叠扁,1,2,21,2021-02-08,4,2,夯林,37.1,36,8.1,6,18.5,21.77,1,
面合,苛玫,叠扁,1,2,21,2021-02-08,4,2,夯林,37.1,36,8.1,6,18.5,21.77,2,4
面合,苛玫,叠扁,1,2,21,2021-02-08,4,2,夯林,37.1,36,8.1,6,18.5,21.77,3,3
面合,苛玫,叠扁,1,2,22,2021-02-16,1,2,咀酒,22.1,18,4.9,3.4,9.3,15.98,1,6
面合,苛玫,叠扁,1,2,22,2021-02-16,1,2,咀酒,22.1,18,4.9,3.4,9.3,15.98,2,3
面合,苛玫,叠扁,1,2,22,2021-02-16,1,2,咀酒,22.1,18,4.9,3.4,9.3,15.98,3,3
面合,苛玫,叠扁,1,2,22,2021-02-16,1,2,夯林,34.4,36,9.6,9.9,22,24.32,1,
面合,苛玫,叠扁,1,2,22,2021-02-16,1,2,夯林,34.4,36,9.6,9.9,22,24.32,2,5
面合,苛玫,叠扁,1,2,22,2021-02-16,1,2,夯林,34.4,36,9.6,9.9,22,24.32,3,6
面合,苛玫,叠扁,1,2,22,2021-02-16,1,2,咀酒-2,19.4,15,10.8,9.1,12.2,15.91,1,5
面合,苛玫,叠扁,1,2,22,2021-02-16,2,3,咀酒,20.5,15,11,9,15.3,16,1,7
面合,苛玫,叠扁,1,2,22,2021-02-16,2,3,咀酒,20.5,15,11,9,15.3,16,2,6
面合,苛玫,叠扁,1,2,22,2021-02-16,2,3,夯林,33.4,36,9.6,7.5,19.5,20.87,1,
面合,苛玫,叠扁,1,2,22,2021-02-16,2,3,夯林,33.4,36,9.6,7.5,19.5,20.87,2,8
面合,苛玫,叠扁,1,2,22,2021-02-16,2,3,夯林,33.4,36,9.6,7.5,19.5,20.87,3,5
面合,苛玫,叠扁,1,2,22,2021-02-16,2,3,咀酒-2,22.7,12,9.6,7.3,13.8,16.3,1,4
面合,苛玫,叠扁,1,2,22,2021-02-16,2,3,咀酒-2,22.7,12,9.6,7.3,13.8,16.3,2,1
面合,苛玫,叠扁,1,2,22,2021-02-16,2,3,咀酒-3,17.5,12,12.8,11.1,9.8,14.98,1,1
面合,苛玫,叠扁,1,2,22,2021-02-16,3,1,夯林,37.1,21,8.6,7,20,21.13,1,
面合,苛玫,叠扁,1,2,22,2021-02-16,3,1,咀酒,37.4,18,8.6,5.3,23.6,12.6,1,2
面合,苛玫,叠扁,1,2,22,2021-02-16,3,1,夯林,37.1,21,8.6,7,20,21.13,2,1
面合,苛玫,叠扁,1,2,22,2021-02-16,3,1,夯林,37.1,21,8.6,7,20,21.13,3,8
面合,苛玫,叠扁,1,2,22,2021-02-16,4,2,咀酒-2,28.4,15,11,8.8,20,20.53,1,3
